transaction_id,price,transfer_date,sale_year,sale_month,postcode,postcode_norm,property_type,old_new,duration,paon,saon,street,locality,town_city,district,county,ppd_category_type,record_status,ladcd,lat_postcode,lon_postcode,uprn,lat_rooftop,lon_rooftop,os_match_score,os_match_type,epc_current_rating,epc_current_score,epc_potential_rating,epc_potential_score,epc_floor_area_m2,build_bucket,build_bucket_confidence,build_bucket_source,uprn_addr,uprn_reshare,uprn_final,epc_match_method,uprn_lat,uprn_lon,uprn_n,epc_floor_area_m2_from_epc,epc_lodgement_date_from_epc
{31C68072-0D58-FEE3-E063-4804A8C04F37},310500,2025-03-14,2025,3,M33 7AT,M337AT,T,N,F,3,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430404,-2.316278,,,,,,,,,,,,,,100011701732,,100011701732,exact_street,53.430728,-2.3162502,100011701732,71.0,2024-09-05
{EC7AD099-A375-9200-E053-6C04A8C0E306},283000,2022-08-26,2022,8,M33 7AT,M337AT,T,N,F,3,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430404,-2.316278,,,,,,,,,,,,,,100011701732,100011701732,100011701732,exact_street,53.430728,-2.3162502,100011701732,71.0,2024-09-05
{D4D42645-A861-27F6-E053-6C04A8C0A572},331850,2021-06-15,2021,6,M33 7FN,M337FN,S,N,F,21,,DARGLE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.429950,-2.318066,,,,,,,,,,,,,,100011686371,100011686371,100011686371,exact_street,53.4299502,-2.3180655,100011686371,94.0,2021-02-25
{CFC9085C-9372-9A70-E053-6B04A8C09D6A},218000,2021-06-11,2021,6,M33 7AT,M337AT,T,N,F,11,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430404,-2.316278,,,,,,,,,,,,,,100011701740,100011701740,100011701740,exact_street,53.4305841,-2.3162792,100011701740,70.0,2020-11-24
{F3B6C198-1E67-6E40-E053-6C04A8C0B3B4},505000,2022-12-15,2022,12,M33 7BT,M337BT,S,N,F,2,,LINTON ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431697,-2.316845,,,,,,,,,,,,,,100011692691,100011692691,100011692691,exact_street,53.431706,-2.3169347,100011692691,140.0,2022-03-05
{3DCCB7C9-E6C8-5B9D-E063-4704A8C0331E},360000,2025-07-23,2025,7,M33 7BG,M337BG,T,N,F,3,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693909,,100011693909,exact_street,53.4315361,-2.3165873,100011693909,95.0,2025-03-22
{E073986B-2A82-2134-E053-6C04A8C0233B},340000,2022-01-21,2022,1,M33 7AU,M337AU,T,N,F,61,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430050,-2.317630,,,,,,,,,,,,,,100011701782,100011701782,100011701782,exact_street,53.4299522,-2.317313,100011701782,84.0,2021-08-04
{EED73E75-8CF3-6AF3-E053-6C04A8C08ABA},240000,2022-11-09,2022,11,M33 7AT,M337AT,T,N,F,13,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430404,-2.316278,,,,,,,,,,,,,,100011701742,100011701742,100011701742,exact_street,53.4305393,-2.3162187,100011701742,94.0,2022-10-17
{F5E8B081-3CC5-3A13-E053-6C04A8C060B7},353000,2022-10-14,2022,10,M33 7BY,M337BY,T,N,F,51,,DANE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431232,-2.316119,,,,,,,,,,,,,,100011686168,100011686168,100011686168,exact_street,53.4312317,-2.3161185,100011686168,94.0,2022-05-04
{25E9DA81-12EC-555E-E063-4704A8C066F2},300000,2023-01-15,2023,1,M33 7FW,M337FW,S,N,F,18,,DARGLE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.429743,-2.318275,,,,,,,,,,,,,,100011686368,100011686368,100011686368,exact_street,53.4297786,-2.3183652,100011686368,85.0,2023-08-08
{1EAE3DF6-7B0E-9EB1-E063-4704A8C09D02},389000,2024-07-16,2024,7,M33 7BG,M337BG,T,N,F,6,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693912,100011693912,100011693912,exact_street,53.4314834,-2.3161354,100011693912,89.0,2024-02-26
{25E9DA80-C4E1-555E-E063-4704A8C066F2},387500,2024-05-24,2024,5,M33 7BG,M337BG,T,N,F,8,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693914,100011693914,100011693914,exact_street,53.4315284,-2.3161207,100011693914,92.0,2024-02-09
{C8A3A576-27FB-0425-E053-6C04A8C0947B},253000,2021-03-31,2021,3,M33 7JZ,M337JZ,T,N,F,9,,ELM GROVE,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.319886,,,,,,,,,,,,,,100011687289,100011687289,100011687289,exact_street,53.4316816,-2.3193125,100011687289,85.0,2021-03-09
{1C3E72FE-1AF5-F410-E063-4804A8C0DFA6},400500,2024-05-31,2024,5,M33 7BG,M337BG,T,N,F,12,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693918,100011693918,100011693918,exact_street,53.4316002,-2.3161513,100011693918,86.0,2024-02-09
{402A3A66-13E2-A7DF-E063-4804A8C0B80D},460022,2024-12-12,2024,12,M33 7FW,M337FW,S,N,F,22,,DARGLE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.429743,-2.318275,,,,,,,,,,,,,,100011686372,,100011686372,exact_street,53.4296803,-2.3181237,100011686372,114.0,2023-07-13
{C6209F5F-3BFB-295E-E053-6C04A8C0DDCC},322000,2021-05-28,2021,5,M33 7BG,M337BG,T,N,F,15,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693921,100011693921,100011693921,exact_street,53.4318868,-2.3165447,100011693921,103.0,2025-09-08
